12,1656064717295113728,0,1647,163,160
13,1656064717400565248,0,1645,158,157
14,1656064717494703616,0,1637,158,157
15,1656064717600241408,0,1643,159,158
16,1656064717694781184,0,1648,155,155
17,1656064717795584512,0,1654,158,158
18,1656064717896238336,0,1654,158,158
19,1656064717995571968,0,1644,157,157
20,1656064718095236864,0,1653,159,159
21,1656064718199981568,0,1649,158,158
22,1656064718295174144,0,1657,158,158
23,1656064718398666240,0,1642,158,158
24,1656064718494740736,0,1652,158,158
25,1656064718595539968,0,1644,157,157
26,1656064718695326464,0,1643,156,156
27,1656064718795345664,0,1646,157,157
28,1656064718894846208,0,1644,156,156
29,1656064718998785536,0,1648,156,156
30,1656064719095063808,0,1639,154,154
31,1656064719195328768,0,1638,157,156
32,1656064719295372544,0,1645,155,155
33,1656064719395686912,0,1633,150,150
34,1656064719497887232,0,1642,153,153
35,1656064719595316736,0,1643,154,154
36,1656064719696608256,0,1652,151,151
37,1656064719798452992,0,1646,156,156
38,1656064719895035648,0,1647,154,154
39,1656064719995606272,0,1647,154,154
40,1656064720094834432,0,1643,155,155
41,1656064720195505408,0,1648,153,153
42,1656064720296183552,0,1653,156,156
43,1656064720395165184,0,1652,157,157
44,1656064720496815360,0,1648,153,153
45,1656064720594824192,0,1640,153,153
46,1656064720695479808,0,1633,152,152
47,1656064720797925120,0,1643,154,154
48,1656064720895293184,0,1647,141,140
49,1656064720998119680,0,1648,138,137
50,1656064721095181568,0,1628,199,199
51,1656064721195224320,0,1653,205,203
52,1656064721295565312,0,1677,191,190
53,1656064721397995008,0,1670,189,184
54,1656064721495192576,0,1637,177,171
55,1656064721597870080,0,1655,181,173
56,1656064721695297024,0,1636,183,175
57,1656064721795331840,0,1690,185,179
58,1656064721899920128,0,1683,197,192
59,1656064721995155200,0,1785,172,159
60,1656064722100057856,0,1796,261,250
61,1656064722195125248,0,1766,299,281
62,1656064722301729280,0,1842,349,331
63,1656064722395044352,0,1833,343,326
64,1656064722500762112,0,1887,333,317
65,1656064722599139328,0,1871,381,361
66,1656064722695175168,0,1888,350,326
67,1656064722797776128,0,1845,396,383
68,1656064722895339008,0,1874,435,416
69,1656064722994839552,0,1895,437,423
70,1656064723095144704,0,1937,430,410
71,1656064723194778112,0,1884,417,393
72,1656064723295846912,0,1945,403,376
73,1656064723395110912,0,1941,373,341
74,1656064723497308928,0,1951,444,419
75,1656064723597935872,0,1903,407,377
76,1656064723695223296,0,1927,378,353
77,1656064723794877184,0,1918,402,370
78,1656064723895242240,0,1879,362,328
79,1656064723995201792,0,1921,354,307
80,1656064724095954432,0,1915,468,428
81,1656064724198082560,0,1920,404,360
82,1656064724295235840,0,1889,367,330
83,1656064724394894592,0,1888,375,332
84,1656064724500349952,0,1907,371,324
85,1656064724594865664,0,1935,370,335
86,1656064724700169216,0,1928,314,280
87,1656064724795089408,0,1908,394,360
88,1656064724895247360,0,1928,387,347
89,1656064724994911744,0,1924,357,320
90,1656064725096706048,0,1932,333,296
91,1656064725194991360,0,1927,312,279
92,1656064725295326464,0,1932,317,278
93,1656064725395635968,0,1896,293,251
94,1656064725500322816,0,1926,387,370
95,1656064725595707904,0,1912,384,353
96,1656064725695454720,0,1915,358,329
97,1656064725795463680,0,1911,353,319
98,1656064725900114432,0,1888,337,309
99,1656064725995264000,0,1887,323,294
100,1656064726100246528,0,1898,315,284
101,1656064726195042304,0,1906,293,268
102,1656064726295436544,0,1949,288,255
103,1656064726397885440,0,1902,304,273
104,1656064726495360000,0,1953,295,257
105,1656064726594895616,0,1953,288,252
106,1656064726700104448,0,1925,270,235
107,1656064726794908672,0,1947,255,221
108,1656064726895233280,0,1910,374,352
109,1656064726998090496,0,1900,356,325
110,1656064727097232896,0,1894,355,320
111,1656064727198300160,0,1898,333,304
112,1656064727299265024,0,1938,338,304
113,1656064727394912000,0,1883,306,284
114,1656064727495793408,0,1903,316,292
115,1656064727598125568,0,1921,307,279
116,1656064727695239424,0,1883,282,248
117,1656064727795121152,0,1881,302,275
118,1656064727895569408,0,1890,300,264
119,1656064727994841088,0,1921,280,258
120,1656064728100307712,0,1888,273,251
121,1656064728194782464,0,1884,283,259
122,1656064728302143744,0,1864,290,265
123,1656064728395142144,0,1943,291,267
124,1656064728500888320,0,1951,284,253
125,1656064728594932736,0,1896,283,237
126,1656064728700922880,0,1880,283,243
127,1656064728795574016,0,1889,276,250
128,1656064728895213568,0,1941,277,243
129,1656064728994871808,0,1871,278,247
130,1656064729095379200,0,1869,270,232
131,1656064729194782464,0,1900,279,243
132,1656064729298152704,0,1896,271,241
133,1656064729395094272,0,1851,263,232
134,1656064729500033024,0,1870,278,235
135,1656064729594765824,0,1868,273,239
136,1656064729701522944,0,1852,273,243
137,1656064729794875648,0,1850,269,241
138,1656064729895401216,0,1850,277,247
139,1656064729994787328,0,1849,281,249
140,1656064730100077568,0,1874,288,256
141,1656064730195076096,0,1871,283,246
142,1656064730295643904,0,1873,286,249
143,1656064730395066880,0,1873,282,245
144,1656064730498511872,0,1854,275,242
145,1656064730595017216,0,1870,279,250
146,1656064730697418496,0,1869,283,251
147,1656064730795144192,0,1871,276,248
148,1656064730899608576,0,1871,282,247
149,1656064730997244928,0,1893,288,256
150,1656064731095238400,0,1873,285,251
151,1656064731195728128,0,1873,280,247
152,1656064731295548160,0,1874,281,247
153,1656064731394917376,0,1877,279,249
154,1656064731495534336,0,1879,278,247
155,1656064731598085120,0,1875,278,245
156,1656064731695472128,0,1873,289,249
157,1656064731796200704,0,1877,284,249
158,1656064731895496960,0,1880,282,247
159,1656064731995031296,0,1882,279,247
