patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,good_matches,blur,flow
31,14,1.2,8,0,1937,1937,350,310.5750196368664,6.1770015
31,14,1.2,8,0,1938,1938,573,271.04935033064675,2.4093626
31,14,1.2,8,0,1933,1933,484,289.2827316704914,3.8446224
31,14,1.2,8,0,1949,1949,499,280.0709539619216,3.2789857
31,14,1.2,8,0,1924,1924,633,331.06076390102805,1.5049071
31,14,1.2,8,0,1922,1922,609,277.6483324617916,2.2429597
31,14,1.2,8,0,1938,1938,597,292.95577748708166,1.7810754
31,14,1.2,8,0,1935,1935,425,279.04396531150076,4.799169
31,14,1.2,8,0,1928,1928,512,331.3403747413676,3.3445702
31,14,1.2,8,0,1945,1945,622,276.7360956155699,1.815129
31,14,1.2,8,0,1938,1938,584,287.44982426752705,2.1387198
31,14,1.2,8,0,1939,1939,598,274.82081656980625,1.7182553
31,14,1.2,8,0,1944,1944,523,322.6246774017673,1.698534
31,14,1.2,8,0,1886,1886,474,232.1512494692134,4.2005157
31,14,1.2,8,0,1887,1887,560,251.65365623056633,1.889934
31,14,1.2,8,0,1908,1908,565,235.84042972794919,1.6631771
31,14,1.2,8,0,1898,1898,552,273.95598979889917,1.8264259
31,14,1.2,8,0,1856,1856,563,223.65937707271763,1.9597336
31,14,1.2,8,0,1872,1872,632,237.3209052700807,1.6654052
31,14,1.2,8,0,1879,1879,514,221.50839650580298,3.0892093
31,14,1.2,8,0,1869,1869,531,269.77248623874635,2.8959756
31,14,1.2,8,0,1878,1878,493,222.10791925277945,2.6672113
31,14,1.2,8,0,1885,1885,565,231.95435471339616,2.7237244
31,14,1.2,8,0,1892,1892,598,216.72241791621664,1.7955953
31,14,1.2,8,0,1885,1885,534,265.10010493458884,2.3282635
31,14,1.2,8,0,1911,1911,551,215.40985127801508,2.6120934
31,14,1.2,8,0,1907,1907,546,230.56345064796932,2.3253012
31,14,1.2,8,0,1921,1921,664,222.75078710690494,1.1406547
31,14,1.2,8,0,1908,1908,631,264.8980162986591,1.2819614
31,14,1.2,8,0,1923,1923,656,216.0841602360255,1.2642034
31,14,1.2,8,0,1940,1940,665,231.25100060942202,1.5674832
31,14,1.2,8,0,1950,1950,664,220.4873760917422,1.027725
31,14,1.2,8,0,1955,1955,602,258.525084745306,1.6726596
31,14,1.2,8,0,1958,1958,712,218.90588333507478,0.7152644
31,14,1.2,8,0,1953,1953,622,231.7699185707389,1.8401468
31,14,1.2,8,0,1970,1970,735,222.97426063400542,0.86504334
31,14,1.2,8,0,1966,1966,591,260.4612569188777,2.2005951
31,14,1.2,8,0,1964,1964,879,222.37365748532167,0.678982
31,14,1.2,8,0,1974,1974,771,231.2326342057702,0.4943764
31,14,1.2,8,0,1957,1957,1630,245.25049791536267,0.12131494
31,14,1.2,8,0,1967,1967,1260,260.2467703692935,0.27966937
31,14,1.2,8,0,1967,1967,1180,229.89955100607858,0.2738951
31,14,1.2,8,0,1962,1962,881,230.65304578300294,0.3117152
31,14,1.2,8,0,1917,1917,1771,209.30898748094995,0.06694049
31,14,1.2,8,0,1921,1921,1339,213.38373187734234,0.120249696
31,14,1.2,8,0,1924,1924,1582,201.500788191814,0.06948502
31,14,1.2,8,0,1908,1908,1596,203.63228173656606,0.07224913
31,14,1.2,8,0,1909,1909,1478,202.254265614642,0.08873237
31,14,1.2,8,0,1921,1921,1649,213.71777728955053,0.07187574
31,14,1.2,8,0,1917,1917,1655,204.62909665603394,0.065593876
31,14,1.2,8,0,1915,1915,1171,206.03568964425696,0.2239743
31,14,1.2,8,0,1926,1926,655,182.3636751493628,1.5282966
31,14,1.2,8,0,1928,1928,689,206.2371368590995,0.58197904
31,14,1.2,8,0,1916,1916,771,175.9576132747445,0.6161282
31,14,1.2,8,0,1908,1908,731,189.09433584430906,2.111455
31,14,1.2,8,0,1899,1899,483,176.24838857041382,9.781571
31,14,1.2,8,0,1876,1876,430,195.6844751921153,17.960258
31,14,1.2,8,0,1897,1897,368,235.18002077482228,22.862572
31,14,1.2,8,0,1872,1872,372,237.28724744451,21.736996
31,14,1.2,8,0,1844,1844,380,205.51261335473546,20.218534
31,14,1.2,8,0,1826,1826,477,231.27975434416885,11.519298
31,14,1.2,8,0,1842,1842,482,214.28049762608305,10.752343
31,14,1.2,8,0,1827,1827,438,261.51237798598487,12.456031
31,14,1.2,8,0,1833,1833,455,221.8229951939921,14.666352
31,14,1.2,8,0,1821,1821,369,253.9556349952954,18.804752
31,14,1.2,8,0,1813,1813,346,254.4603470356643,18.852053
31,14,1.2,8,0,1775,1775,452,220.32420284846376,11.307417
31,14,1.2,8,0,1779,1779,463,237.83117874756425,13.682482
31,14,1.2,8,0,1788,1788,419,224.70142317291717,13.27367
31,14,1.2,8,0,1774,1774,355,264.8893660300852,18.465357
31,14,1.2,8,0,1777,1777,440,229.3521396746227,8.987135
31,14,1.2,8,0,1750,1750,385,243.00460164172554,13.713751
31,14,1.2,8,0,1768,1768,308,229.53528821066254,22.281687
31,14,1.2,8,0,1722,1722,247,271.4874402825703,22.323475
31,14,1.2,8,0,1724,1724,268,261.3246061358204,22.696781
31,14,1.2,8,0,1709,1709,343,230.18127848402216,11.570295
