euroc/MH01
parameter,setting,mean,min
FAST Threshold,5,175.3,11
FAST Threshold,10,175.5,10
FAST Threshold,20,176.8,0
FAST Threshold,40,171.0,0

Number of features,500,176.8,0
Number of features,1000,316.1,0
Number of features,2000,461.1,0
Number of features,3000,502.1,0

Number of levels,4,168.0,0
Number of levels,8,176.8,0
Number of levels,12,172.0,0
Number of levels,16,162.6,0

Scale factor,1.1,150.2,0
Scale factor,1.2,176.8,0
Scale factor,1.3,183.9,3
Scale factor,1.4,176.8,2

Patch size,6,139.1,3
Patch size,12,143.7,1
Patch size,24,175.9,2
Patch size,48,198.1,0


