own/mc0006_20220523_123903_barn_rainy_corrected
parameter,setting,mean,min
Number of levels,12,105.7,1
Number of levels,16,101.4,1

Scale factor,1.1,96.9,0
Scale factor,1.2,105.9,1
Scale factor,1.3,98.0,3
Scale factor,1.4,88.2,1

Patch size,6,120.0,31
Patch size,12,110.4,13
Patch size,24,113.3,6
Patch size,48,102.8,6


own/den_boer_mc0038_20220619_075057_rain
parameter,setting,mean,min

FAST Threshold,5,161.1,16
FAST Threshold,10,160.3,10
FAST Threshold,20,142.7,0
FAST Threshold,40,91.1,0

Number of features,500,142.7,0
Number of features,1000,210.3,0
Number of features,2000,287.3,0
Number of features,3000,322.4,0

Number of levels,4,135.6,0
Number of levels,8,142.7,0
Number of levels,12,136.7,0
Number of levels,16,130.6,0

Scale factor,1.1,126.9,0
Scale factor,1.2,142.7,0
Scale factor,1.3,140.5,0
Scale factor,1.4,133.9,0

Patch size,6,130.4,0
Patch size,12,132.4,0
Patch size,24,145.6,0
Patch size,48,137.1,0


own/den_boer_mc0038_20220619_080430_after_rain
parameter,setting,mean,min

FAST Threshold,5,156.8,14
FAST Threshold,10,154.6,9
FAST Threshold,20,132.3,0
FAST Threshold,40,76.7,0

Number of features,500,132.3,0
Number of features,1000,189.9,0
Number of features,2000,252.7,0
Number of features,3000,276.9,0

Number of levels,4,120.9,0
Number of levels,8,132.3,0
Number of levels,12,127.4,0
Number of levels,16,122.3,0

Scale factor,1.1,116.0,0
Scale factor,1.2,132.3,0
Scale factor,1.3,129.1,2
Scale factor,1.4,122.2,2

Patch size,6,124.0,1
Patch size,12,123.6,2
Patch size,24,135.8,1
Patch size,48,125.7,0


own/van_adrichem_mc0003_20220619_071337_after_rain
parameter,setting,mean,min

FAST Threshold,5,259.5,45
FAST Threshold,10,259.4,45
FAST Threshold,20,259.0,45
FAST Threshold,40,247.7,37

Number of features,500,259.0,45
Number of features,1000,490.3,119
Number of features,2000,862.1,136
Number of features,3000,1138.0,136

Number of levels,4,252.5,70
Number of levels,8,259.0,45
Number of levels,12,251.4,36
Number of levels,16,237.2,33

Scale factor,1.1,222.8,32
Scale factor,1.2,259.0,45
Scale factor,1.3,264.7,63
Scale factor,1.4,253.8,68

Patch size,6,201.6,87
Patch size,12,208.7,78
Patch size,24,245.2,72
Patch size,48,281.0,34


own/van_adrichem_mc0003_20220621_161250_sunny
parameter,setting,mean,min

FAST Threshold,5,239.3,25
FAST Threshold,10,239.3,25
FAST Threshold,20,236.3,32
FAST Threshold,40,221.3,13

Number of features,500,236.3,32
Number of features,1000,436.2,75
Number of features,2000,757.2,78
Number of features,3000,985.2,78

Number of levels,4,230.5,31
Number of levels,8,236.3,32
Number of levels,12,226.1,22
Number of levels,16,213.5,16

Scale factor,1.1,203.4,20
Scale factor,1.2,236.3,32
Scale factor,1.3,238.9,32
Scale factor,1.4,229.1,22

Patch size,6,180.1,55
Patch size,12,190.4,67
Patch size,24,225.4,37
Patch size,48,247.2,24


own/van_adrichem_mc0003_20220622_000215_dark
parameter,setting,mean,min

FAST Threshold,5,184.4,0
FAST Threshold,10,185.6,0
FAST Threshold,20,181.7,0
FAST Threshold,40,167.8,0

Number of features,500,181.7,0
Number of features,1000,331.3,0
Number of features,2000,597.8,0
Number of features,3000,784.9,0

Number of levels,4,177.5,0
Number of levels,8,181.7,0
Number of levels,12,175.1,0
Number of levels,16,165.5,0

Scale factor,1.1,163.0,0
Scale factor,1.2,181.7,0
Scale factor,1.3,184.4,0
Scale factor,1.4,177.4,0

Patch size,6,160.9,0
Patch size,12,162.6,0
Patch size,24,178.7,0
Patch size,48,187.2,0


